title;;url;;author;;date;;tags
Why the Washington region needs better suburb-to-suburb transit;;https://www.dcpolicycenter.org/publications/suburb-to-suburb-transit-part-one/;;D.W. Rowlands;;February 21, 2019;;Articles,  Transportation 
How can D.C. make bikesharing family-friendly?;;https://www.dcpolicycenter.org/publications/how-can-d-c-make-bikesharing-family-friendly/;;Canaan Merchant;;February 14, 2019;;Articles,  Transportation 
Testimony of Executive Director Yesim Sayin Taylor on the Department of Consumer and Regulatory Affairs;;https://www.dcpolicycenter.org/publications/testimony-of-executive-director-yesim-sayin-taylor-on-the-department-of-consumer-and-regulatory-affairs/;;D.C. Policy Center;;February 6, 2019;;Business Conditions,  Testimony 
Racial and ethnic diversity over time in D.C.’s schools;;https://www.dcpolicycenter.org/publications/racial-and-ethnic-diversity-over-time-in-d-c-s-schools/;;Chelsea Coffin;;February 6, 2019;;Articles,  Education,  Education Policy Initiative 
Battling Racial Discrimination in the Workplace;;https://www.dcpolicycenter.org/publications/battling-racial-discrimination-in-the-workplace/;;Becky Strauss;;January 24, 2019;;Articles,  Racial Equity,  Workforce and the Labor Market 
No Guarantee of a Seat at D.C.’s Most Racially Diverse Schools;;https://www.dcpolicycenter.org/publications/no-guarantee-of-a-seat-at-d-c-s-most-racially-diverse-schools/;;Chelsea Coffin;;December 20, 2018;;Articles,  Education,  Education Policy Initiative 
What does school diversity look like in D.C.?;;https://www.dcpolicycenter.org/publications/what-does-school-diversity-look-like-in-d-c/;;Chelsea Coffin;;December 17, 2018;;Articles,  Education,  Education Policy Initiative 
Landscape of Diversity in D.C. Public Schools;;https://www.dcpolicycenter.org/publications/landscape-of-diversity-in-dc-public-schools/;;Chelsea Coffin;;December 17, 2018;;Education,  Education Policy Initiative,  Reports 
Made in D.C.: Which areas have the highest share of D.C.-born residents;;https://www.dcpolicycenter.org/publications/which-areas-have-the-highest-share-of-d-c-born-residents/;;Mike Maciag;;December 13, 2018;;Articles,  Demographics 
How big of a deal is Amazon HQ2 for the DC Metro Region?;;https://www.dcpolicycenter.org/publications/amazon-effect/;;Yesim Sayin Taylor;;November 5, 2018;;Articles,  Economy,  Housing,  Urban Development 
Testimony of Executive Director Yesim Sayin Taylor on the Clean Energy DC Omnibus Amendment Act of 2018 (Bill 22-904);;https://www.dcpolicycenter.org/publications/testimony-of-executive-director-yesim-sayin-taylor-on-the-clean-energy-dc-omnibus-amendment-act-of-2018-october-29/;;D.C. Policy Center;;October 29, 2018;;Business Conditions,  Environment,  Testimony 
Tax practices that amplify racial inequities:  Property tax treatment of owner-occupied housing;;https://www.dcpolicycenter.org/publications/tax-practices-that-amplify-racial-inequities-property-tax-treatment-of-owner-occupied-housing/;;Yesim Sayin Taylor;;October 24, 2018;;Articles,  Housing,  Racial Equity,  Taxes 
Discriminatory housing practices in the District: A brief history;;https://www.dcpolicycenter.org/publications/discriminatory-housing-practices-in-the-district-a-brief-history/;;Kathryn Zickuhr;;October 24, 2018;;Articles,  D.C. History,  Housing,  Racial Equity 
Symposium: Achieving Racial Equity in Housing Outcomes in D.C.;;https://www.dcpolicycenter.org/publications/racial-equity-housing-symposium/;;D.C. Policy Center;;October 18, 2018;;Housing,  Racial Equity,  Reports 
Racial Equity in D.C.: Introduction from The Consumer Health Foundation and the Meyer Foundation;;https://www.dcpolicycenter.org/publications/racial-equity-series-introduction/;;Guest Contributor;;October 18, 2018;;Articles,  Racial Equity 
2018 State of the Business Report: Towards a More Inclusive Economy;;https://www.dcpolicycenter.org/publications/2018-state-of-the-business-report-towards-a-more-inclusive-economy/;;D.C. Policy Center;;October 10, 2018;;Business Conditions,  Reports 
D.C.’s shadow rental market;;https://www.dcpolicycenter.org/publications/shadow-rental-market-2018-state-of-business/;;Yesim Sayin Taylor;;October 10, 2018;;Articles,  Housing 
Testimony of Executive Director Yesim Sayin Taylor on the “Clean Energy DC Omnibus Amendment Act of 2018”;;https://www.dcpolicycenter.org/publications/testimony-of-executive-director-yesim-sayin-taylor-on-the-clean-energy-dc-omnibus-amendment-act-of-2018/;;D.C. Policy Center;;October 9, 2018;;Business Conditions,  Environment,  Testimony 
Synthetics: The next chapter in the D.C. region’s drug crisis;;https://www.dcpolicycenter.org/publications/synthetic-drugs-dc-region/;;Matthew Pembleton;;October 3, 2018;;Articles,  Health,  Public Safety 
School-age population likely to grow most outside the Wilson High School boundary;;https://www.dcpolicycenter.org/publications/school-age-population-likely-to-grow-most-outside-the-wilson-high-school-boundary/;;Chelsea Coffin;;September 27, 2018;;Articles,  Education,  Education Policy Initiative,  Housing 
Future enrollment is likely to grow in upper grades;;https://www.dcpolicycenter.org/publications/future-enrollment-is-likely-to-grow-in-upper-grades/;;Chelsea Coffin;;September 25, 2018;;Articles,  Education,  Education Policy Initiative,  Housing 
Two drivers of D.C.’s public school enrollment increase;;https://www.dcpolicycenter.org/publications/two-drivers-of-d-c-s-public-school-enrollment-increase/;;Chelsea Coffin;;September 20, 2018;;Articles,  Education,  Education Policy Initiative 
How D.C.’s Young Families May Shape Public School Enrollment;;https://www.dcpolicycenter.org/publications/future-public-school-students-summary/;;Chelsea Coffin;;September 18, 2018;;Articles,  Education,  Education Policy Initiative 
Will Children of Current Millennials Become Future Public School Students?;;https://www.dcpolicycenter.org/publications/future-public-school-students-report/;;Chelsea Coffin;;September 18, 2018;;Education,  Education Policy Initiative,  Reports 
Executive Director Yesim Sayin Taylor’s testimony on the repeal of Initiative 77;;https://www.dcpolicycenter.org/publications/executive-director-yesim-sayin-taylors-testimony-repeal-initiative-77/;;D.C. Policy Center;;September 17, 2018;;Testimony,  Workforce and the Labor Market 
Concentrated Poverty – The Critical Mass;;https://www.dcpolicycenter.org/publications/concentrated-poverty-critical-mass/;;David Rusk;;September 13, 2018;;Articles,  Demographics,  Poverty and Income Inequality 
Rethinking the District’s Unemployment Taxes;;https://www.dcpolicycenter.org/publications/rethinking-districts-unemployment-compensation-system/;;Yesim Sayin Taylor;;September 10, 2018;;Articles,  Business Conditions,  Economy,  Taxes,  Workforce and the Labor Market 
D.C.’s Startup Scene, Part II: Opportunity Costs;;https://www.dcpolicycenter.org/publications/d-c-s-startup-scene-part-ii-opportunity-costs/;;Shirin Arslan;;August 29, 2018;;Articles,  Business Conditions,  Workforce and the Labor Market 
Obstacles to employment for returning citizens in D.C.;;https://www.dcpolicycenter.org/publications/barriers-to-employment-for-returning-citizens-in-d-c/;;Robin Selwitz;;August 17, 2018;;Articles,  Workforce and the Labor Market 
Metro’s ridership crisis in focus: The Orange Line;;https://www.dcpolicycenter.org/publications/metro-ridership-orange-line/;;Ethan Finlan;;July 26, 2018;;Articles,  Transportation 
The Great Sort: Part III;;https://www.dcpolicycenter.org/publications/the-great-sort-part-iii/;;David Rusk;;July 18, 2018;;Articles,  D.C. History,  Demographics 
